fips,diabetes,inactivity,mental_health,obesity,smoking
13257,13.5,30.0,19.5,38.65,18.2
13259,18.15,39.2,18.8,41.8,21.0
13261,15.9,32.7,19.45,40.2,17.1
13263,19.05,36.1,19.1,43.2,19.1
13265,18.7,35.8,18.45,41.75,18.55
13267,15.5,34.65,19.7,40.75,20.35
13269,18.1,37.15,20.65,42.45,22.05
13271,19.05,39.8,20.35,42.95,22.8
13273,19.25,38.8,20.45,43.85,21.5
13275,14.55,28.3,18.1,39.25,16.1
13277,15.05,32.7,19.45,39.55,17.75
13279,14.55,32.45,19.45,40.75,17.7
13281,13.1,25.7,16.55,32.45,13.65
13283,17.2,37.35,21.3,41.4,22.9
13285,14.15,31.6,19.15,35.95,17.0
13287,17.05,37.0,20.6,44.65,20.65
13289,16.15,32.5,19.45,39.6,18.7
13291,12.95,26.65,16.9,34.65,14.75
13293,14.9,32.05,19.65,39.15,18.95
13295,12.3,29.15,18.7,37.9,16.85
13297,12.15,27.5,17.75,38.2,14.9
13299,15.75,36.1,20.3,41.4,19.8
13301,17.85,35.75,19.4,43.65,19.0
13303,17.3,34.2,19.4,43.05,19.45
13305,14.95,33.05,20.1,43.15,20.0
13307,18.25,34.9,19.3,42.35,19.05
13309,15.55,35.25,19.35,41.45,21.3
13311,11.65,25.4,17.65,35.1,15.05
13313,13.55,31.65,17.95,38.0,15.7
13315,16.3,34.25,19.05,42.8,20.55
13317,16.65,34.15,18.75,40.75,18.2
13319,15.9,33.05,19.3,41.05,18.3
13321,15.25,32.95,19.9,38.85,19.1
15001,11.05,21.5,16.65,27.35,14.75
15003,11.45,23.05,14.75,25.65,10.05
15005,17.5,26.15,13.65,35.75,15.35
15007,10.65,20.35,15.55,24.0,12.2
15009,10.9,19.8,15.75,26.2,13.3
16001,8.5,18.15,15.5,28.95,10.45
16003,11.6,26.55,16.35,34.05,14.55
16005,9.4,21.75,17.15,33.2,13.1
16007,10.3,23.85,16.8,31.1,13.55
16009,11.75,28.4,17.75,36.15,16.95
16011,10.65,24.2,17.4,39.1,14.15
16013,8.95,19.5,13.9,23.1,9.7
16015,10.15,21.45,14.95,31.6,11.8
